id,species,year,x,y,accuracy,coordinates_obscured,source
240469771,Pseudacris crucifer,2024,-71.9721533333,42.9578783333,14,FALSE,INaturalist
240469368,Pseudacris crucifer,2024,-71.756074788,42.6568412199,4,FALSE,INaturalist
240464971,Pseudacris crucifer,2024,-90.2617586235,45.3256467957,190,FALSE,INaturalist
240461374,Pseudacris crucifer,2024,-73.1495486,44.5494392,93,FALSE,INaturalist
240458725,Pseudacris crucifer,2024,-68.5870347791,44.6865571919,9,FALSE,INaturalist
240408101,Pseudacris crucifer,2024,-86.4088133333,34.0418361667,4,FALSE,INaturalist
240400494,Pseudacris crucifer,2024,-72.0196819661,42.9778453447,24,FALSE,INaturalist
240368961,Pseudacris crucifer,2024,-62.5292283333,46.36097,4,FALSE,INaturalist
240359870,Pseudacris crucifer,2024,-77.2416992702,44.7079709748,15,FALSE,INaturalist
240359863,Pseudacris crucifer,2024,-77.2414632358,44.7079651339,15,FALSE,INaturalist
240358721,Pseudacris crucifer,2024,-80.2211481716,43.5100397422,32,FALSE,INaturalist
240356026,Pseudacris crucifer,2024,-88.0371778333,44.6757133333,4,FALSE,INaturalist
240337474,Pseudacris crucifer,2024,-78.0362311196,43.9750142579,200,FALSE,INaturalist
240332188,Pseudacris crucifer,2024,-76.12445,44.2242383333,31,FALSE,INaturalist
240329970,Pseudacris crucifer,2024,-76.3192833333,44.5694616667,4,FALSE,INaturalist
240314427,Pseudacris crucifer,2024,-72.2054283333,43.215355,25,FALSE,INaturalist
240303952,Pseudacris crucifer,2024,-72.3479695283,41.3820605662,1,FALSE,INaturalist
240295254,Pseudacris crucifer,2024,-70.0849839672,42.033865852,18,FALSE,INaturalist
240265769,Pseudacris crucifer,2024,-83.3777916667,39.21252,9,FALSE,INaturalist
240260214,Pseudacris crucifer,2024,-91.4039783333,46.0474388333,4,FALSE,INaturalist
240242382,Pseudacris crucifer,2024,-92.67453,45.7755366667,3,FALSE,INaturalist
240237630,Pseudacris crucifer,2024,-70.2673124468,41.7101490787,42,FALSE,INaturalist
240231882,Pseudacris crucifer,2024,-76.3244166667,44.5674083333,7,FALSE,INaturalist
240230190,Pseudacris crucifer,2024,-91.3305666667,44.8835416667,7,FALSE,INaturalist
240222113,Pseudacris crucifer,2024,-86.0512555,46.5221333333,4,FALSE,INaturalist
240220384,Pseudacris crucifer,2024,-91.4039833333,46.0474611667,5,FALSE,INaturalist
240208928,Pseudacris crucifer,2024,-76.318405,44.5695716667,24,FALSE,INaturalist
240208412,Pseudacris crucifer,2024,-76.32428,44.5673633333,38,FALSE,INaturalist
240208233,Pseudacris crucifer,2024,-76.3192133333,44.5694083333,15,FALSE,INaturalist
240199029,Pseudacris crucifer,2024,-70.0388744474,41.2925669644,3,FALSE,INaturalist
240192091,Pseudacris crucifer,2024,-83.6035,32.837445,4,FALSE,INaturalist
240136161,Pseudacris crucifer,2024,-92.6742810749,45.7758204287,35,FALSE,INaturalist
240136149,Pseudacris crucifer,2024,-92.6745524817,45.7755264966,3,FALSE,INaturalist
240131856,Pseudacris crucifer,2024,-84.6932726,39.2989124,166,FALSE,INaturalist
240126261,Pseudacris crucifer,2024,-80.9418542683,46.4628011558,315,FALSE,INaturalist
240071139,Pseudacris crucifer,2024,-71.4423293996,42.2652799636,400,FALSE,INaturalist
240064895,Pseudacris crucifer,2024,-83.8669509888,42.7495422363,6,FALSE,INaturalist
240057882,Pseudacris crucifer,2024,-76.3257666667,44.5663033333,41,FALSE,INaturalist
240043109,Pseudacris crucifer,2024,-71.1811642349,48.6511101169,8,FALSE,INaturalist
240041666,Pseudacris crucifer,2024,-71.974680874,48.3766079622,53,FALSE,INaturalist
240037483,Pseudacris crucifer,2024,-72.2080783333,41.0236388333,6,FALSE,INaturalist
240029737,Pseudacris crucifer,2024,-79.45955,44.6571666667,14,FALSE,INaturalist
240021427,Pseudacris crucifer,2024,-70.591355,43.9196083333,5,FALSE,INaturalist
239981009,Pseudacris crucifer,2024,-84.6607704716,41.9850181325,292,FALSE,INaturalist
239967548,Pseudacris crucifer,2024,-74.3150284198,41.5214442336,15,FALSE,INaturalist
239891076,Pseudacris crucifer,2024,-80.3460892859,43.3068241149,323,FALSE,INaturalist
239889828,Pseudacris crucifer,2024,-64.2128133333,45.7393616667,3,FALSE,INaturalist
239885709,Pseudacris crucifer,2024,-71.701959055,41.3511777618,23,FALSE,INaturalist
239856555,Pseudacris crucifer,2024,-80.3559633333,43.3726216667,3,FALSE,INaturalist
239856007,Pseudacris crucifer,2024,-94.2475626245,36.0748018978,6,FALSE,INaturalist
239844843,Pseudacris crucifer,2024,-72.6093498218,41.5372140226,6,FALSE,INaturalist
239838823,Pseudacris crucifer,2024,-72.5628287718,43.2333835458,35,FALSE,INaturalist
239837533,Pseudacris crucifer,2024,-84.4784866667,30.720545,51,FALSE,INaturalist
239825184,Pseudacris crucifer,2024,-64.5379633333,44.240525,4,FALSE,INaturalist
239813281,Pseudacris crucifer,2024,-80.0186916667,45.3470166667,4,FALSE,INaturalist
239802949,Pseudacris crucifer,2024,-84.9471283333,34.9879633333,15,FALSE,INaturalist
239795657,Pseudacris crucifer,2024,-83.701731937,30.8337781933,34,FALSE,INaturalist
239765673,Pseudacris crucifer,2024,-80.324400673,35.2602366177,8,FALSE,INaturalist
239727783,Pseudacris crucifer,2024,-87.5094383333,44.221205,4,FALSE,INaturalist
239721011,Pseudacris crucifer,2024,-86.2260283333,44.6186216667,14,FALSE,INaturalist
239705266,Pseudacris crucifer,2024,-71.7688320362,42.5137057655,16,FALSE,INaturalist
239703138,Pseudacris crucifer,2024,-84.7886634678,34.1379340418,54,FALSE,INaturalist
239683258,Pseudacris crucifer,2024,-86.357995,43.5047916667,5,FALSE,INaturalist
239680865,Pseudacris crucifer,2024,-83.64662607,42.59579936,9,FALSE,INaturalist
239680853,Pseudacris crucifer,2024,-72.4728922918,42.3782240734,22,FALSE,INaturalist
239680393,Pseudacris crucifer,2024,-73.5598532314,43.4820810475,141,FALSE,INaturalist
239673303,Pseudacris crucifer,2024,-92.6185216667,47.3122116667,4,FALSE,INaturalist
239639236,Pseudacris crucifer,2024,-79.1947712394,46.8355122283,2,FALSE,INaturalist
239610965,Pseudacris crucifer,2023,-81.6037966667,41.3698533333,7,FALSE,INaturalist
239553884,Pseudacris crucifer,2024,-71.2309333333,42.8786883333,3,FALSE,INaturalist
239535433,Pseudacris crucifer,2024,-72.4062716667,42.57082,4,FALSE,INaturalist
239527505,Pseudacris crucifer,2024,-92.579925,47.1627888333,4,FALSE,INaturalist
239526118,Pseudacris crucifer,2024,-91.7903133333,46.3738033333,4,FALSE,INaturalist
239521285,Pseudacris crucifer,2024,-70.8076166667,41.782775,4,FALSE,INaturalist
239493734,Pseudacris crucifer,2024,-83.32972,38.8876616667,4,FALSE,INaturalist
239490715,Pseudacris crucifer,2024,-86.1800916667,34.5819366667,4,FALSE,INaturalist
239482412,Pseudacris crucifer,2024,-80.7761420009,41.4179598499,164,FALSE,INaturalist
239475861,Pseudacris crucifer,2024,-84.72358,41.6824383333,5,FALSE,INaturalist
239461368,Pseudacris crucifer,2024,-79.75606286,44.90026483,3,FALSE,INaturalist
239446863,Pseudacris crucifer,2024,-68.7813949585,46.08203125,4,FALSE,INaturalist
239443459,Pseudacris crucifer,2024,-69.8301866667,44.5901966667,42,FALSE,INaturalist
239424617,Pseudacris crucifer,2024,-72.8976135254,42.6907043457,44,FALSE,INaturalist
239415344,Pseudacris crucifer,2024,-70.9624466667,43.6651616667,5,FALSE,INaturalist
239406335,Pseudacris crucifer,2024,-81.4118875287,41.3321152994,47,FALSE,INaturalist
239402422,Pseudacris crucifer,2024,-74.5960466667,45.9056666667,4,FALSE,INaturalist
239398942,Pseudacris crucifer,2024,-80.3559565359,43.3798842151,96,FALSE,INaturalist
239382125,Pseudacris crucifer,2024,-76.0899970902,45.5669179711,89,FALSE,INaturalist
239374268,Pseudacris crucifer,2024,-69.5162057877,44.4805544636,10,FALSE,INaturalist
239334734,Pseudacris crucifer,2024,-73.6852116667,41.3419633333,35,FALSE,INaturalist
239332651,Pseudacris crucifer,2024,-86.3335342705,45.9416779362,184,FALSE,INaturalist
239332244,Pseudacris crucifer,2024,-69.0015416667,44.4503133333,35,FALSE,INaturalist
239330648,Pseudacris crucifer,2024,-88.508125,47.2663166667,5,FALSE,INaturalist
239325343,Pseudacris crucifer,2024,-78.0230555,42.583705,4,FALSE,INaturalist
239321716,Pseudacris crucifer,2024,-70.5542133333,46.9891366667,8,FALSE,INaturalist
239320985,Pseudacris crucifer,2024,-78.46917915,39.2716975,87,FALSE,INaturalist
239316180,Pseudacris crucifer,2024,-73.3315116667,41.23983,5,FALSE,INaturalist
239314882,Pseudacris crucifer,2024,-72.5716703385,44.7350629105,216,FALSE,INaturalist
239309182,Pseudacris crucifer,2024,-79.3800888062,45.5757522583,52,FALSE,INaturalist
239272790,Pseudacris crucifer,2024,-71.2086410522,42.838470459,35,FALSE,INaturalist
239252958,Pseudacris crucifer,2024,-92.3408522663,46.8035980574,39,FALSE,INaturalist
239236531,Pseudacris crucifer,2024,-78.7069939697,45.00554603,357,FALSE,INaturalist
239233860,Pseudacris crucifer,2024,-84.4772866667,42.7173833333,26,FALSE,INaturalist
239224480,Pseudacris crucifer,2024,-89.8669319228,46.1428736709,7,FALSE,INaturalist
239210236,Pseudacris crucifer,2024,-74.4889240712,40.414392057,261,FALSE,INaturalist
239190611,Pseudacris crucifer,2024,-80.6415333333,35.41597,4,FALSE,INaturalist
239173782,Pseudacris crucifer,2024,-76.03,44.5083966667,21,FALSE,INaturalist
239168289,Pseudacris crucifer,2024,-79.4095781534,45.0231546303,45,FALSE,INaturalist
239162732,Pseudacris crucifer,2024,-73.1372611667,41.9825216667,4,FALSE,INaturalist
239118579,Pseudacris crucifer,2024,-92.6945904433,45.907847175,30,FALSE,INaturalist
239115710,Pseudacris crucifer,2024,-92.3037922963,46.8157436132,22,FALSE,INaturalist
239113585,Pseudacris crucifer,2024,-77.241423274,44.7077532808,31,FALSE,INaturalist
239111359,Pseudacris crucifer,2024,-79.8957281,40.8412276,29,FALSE,INaturalist
239108875,Pseudacris crucifer,2024,-92.332475,46.6797216667,5,FALSE,INaturalist
239099988,Pseudacris crucifer,2024,-69.6086429095,44.0499462791,35,FALSE,INaturalist
239098050,Pseudacris crucifer,2024,-79.7068254277,46.7436254583,59,FALSE,INaturalist
239097210,Pseudacris crucifer,2024,-75.5082778931,44.8551635742,3,FALSE,INaturalist
239083894,Pseudacris crucifer,2024,-93.1238945617,45.3336948196,19,FALSE,INaturalist
239081078,Pseudacris crucifer,2024,-80.042975,45.6659283333,4,FALSE,INaturalist
239080972,Pseudacris crucifer,2024,-80.0429833333,45.6659466667,4,FALSE,INaturalist
239075610,Pseudacris crucifer,2024,-94.6313095093,47.0858154297,132,FALSE,INaturalist
239071948,Pseudacris crucifer,2024,-78.0045091733,44.4438709496,248,FALSE,INaturalist
239058639,Pseudacris crucifer,2024,-71.3807281295,42.2324705945,14,FALSE,INaturalist
239058247,Pseudacris crucifer,2023,-72.2120106389,41.8192941997,433,FALSE,INaturalist
239045646,Pseudacris crucifer,2024,-72.6543806842,43.071915955,182,FALSE,INaturalist
239045144,Pseudacris crucifer,2024,-73.0291824341,41.5375061035,5,FALSE,INaturalist
239037859,Pseudacris crucifer,2024,-74.6781166667,40.99142,4,FALSE,INaturalist
239026590,Pseudacris crucifer,2024,-94.3881375343,46.9001816412,321,FALSE,INaturalist
239025967,Pseudacris crucifer,2024,-84.362116,42.810059,25,FALSE,INaturalist
239004808,Pseudacris crucifer,2024,-71.3317466667,42.4187966667,5,FALSE,INaturalist
239002239,Pseudacris crucifer,2024,-70.9332026449,43.1237062812,11,FALSE,INaturalist
238997195,Pseudacris crucifer,2024,-75.777345635,45.8916834602,177,FALSE,INaturalist
238994350,Pseudacris crucifer,2024,-76.1606666667,38.8976033333,69,FALSE,INaturalist
238993787,Pseudacris crucifer,2024,-74.7460738,41.6285714,15,FALSE,INaturalist
238976714,Pseudacris crucifer,2024,-77.5925956294,44.4173889221,182,FALSE,INaturalist
238956851,Pseudacris crucifer,2024,-79.3899262086,39.0438907151,22,FALSE,INaturalist
238953806,Pseudacris crucifer,2024,-71.9071273804,41.7080726624,23,FALSE,INaturalist
238945287,Pseudacris crucifer,2024,-79.4987116667,44.93057,4,FALSE,INaturalist
238941083,Pseudacris crucifer,2024,-68.6092083333,44.40115,4,FALSE,INaturalist
238864803,Pseudacris crucifer,2024,-68.54657,44.9704583333,7,FALSE,INaturalist
238853270,Pseudacris crucifer,2023,-75.9708314762,42.0839242692,145,FALSE,INaturalist
238843577,Pseudacris crucifer,2024,-80.4472427368,44.4508666992,3,FALSE,INaturalist
238839058,Pseudacris crucifer,2024,-71.9239619855,41.6533603377,45,FALSE,INaturalist
238835175,Pseudacris crucifer,2024,-80.5499986122,45.944931303,4,FALSE,INaturalist
238820851,Pseudacris crucifer,2024,-70.1938684937,41.7401106796,3,FALSE,INaturalist
238814510,Pseudacris crucifer,2024,-82.5117874772,41.9280751661,86,FALSE,INaturalist
238785250,Pseudacris crucifer,2024,-72.1821032837,42.4508711099,6,FALSE,INaturalist
238777207,Pseudacris crucifer,2024,-89.73127,45.1732366667,4,FALSE,INaturalist
238709282,Pseudacris crucifer,2024,-86.3795019422,39.1429470688,9,FALSE,INaturalist
238697036,Pseudacris crucifer,2024,-92.471655,46.8485416667,3,FALSE,INaturalist
238690282,Pseudacris crucifer,2024,-92.9597783333,45.0736555,4,FALSE,INaturalist
238677205,Pseudacris crucifer,2024,-93.2004083333,45.4015083333,4,FALSE,INaturalist
238664623,Pseudacris crucifer,2024,-75.680042639,42.659519521,186,FALSE,INaturalist
238663146,Pseudacris crucifer,2012,-80.3653556793,43.3054597989,468,FALSE,INaturalist
238660033,Pseudacris crucifer,2024,-87.1347055,33.7835966667,6,FALSE,INaturalist
238647762,Pseudacris crucifer,2024,-85.8229432628,43.4529444495,9,FALSE,INaturalist
238639286,Pseudacris crucifer,2024,-85.4914130662,43.613037802,13,FALSE,INaturalist
238636936,Pseudacris crucifer,2024,-78.5247716667,45.0120361167,4,FALSE,INaturalist
238634939,Pseudacris crucifer,2024,-93.3392616667,44.7027133333,3,FALSE,INaturalist
238634454,Pseudacris crucifer,2024,-78.5233057596,45.0132346053,488,FALSE,INaturalist
238630640,Pseudacris crucifer,2024,-71.1937081408,42.1254628038,5,FALSE,INaturalist
238628392,Pseudacris crucifer,2024,-92.9388116667,45.115825,8,FALSE,INaturalist
238619942,Pseudacris crucifer,2024,-72.486961484,43.455555006,10,FALSE,INaturalist
238619756,Pseudacris crucifer,2024,-72.486721193,43.4561137897,376,FALSE,INaturalist
238611725,Pseudacris crucifer,2024,-73.5664583333,41.309295,22,FALSE,INaturalist
238611682,Pseudacris crucifer,2024,-71.11055,42.43485,21,FALSE,INaturalist
238602514,Pseudacris crucifer,2024,-80.351219038,47.9700432817,11,FALSE,INaturalist
238575813,Pseudacris crucifer,2024,-77.7343335,38.7685688,32,FALSE,INaturalist
238574252,Pseudacris crucifer,2024,-62.1022943315,45.0100905542,6,FALSE,INaturalist
238568641,Pseudacris crucifer,2024,-71.8798216667,42.49157,18,FALSE,INaturalist
238535219,Pseudacris crucifer,2024,-92.6683366667,45.3961833333,6,FALSE,INaturalist
238528515,Pseudacris crucifer,2024,-77.9232866667,37.5357883333,4,FALSE,INaturalist
238526909,Pseudacris crucifer,2024,-93.5265462437,45.4934496674,73,FALSE,INaturalist
238526120,Pseudacris crucifer,2024,-93.5262472678,45.4934518604,161,FALSE,INaturalist
238516769,Pseudacris crucifer,2024,-92.23883,47.4244633333,4,FALSE,INaturalist
238512114,Pseudacris crucifer,2024,-76.0897082889,45.5666672796,2,FALSE,INaturalist
238511588,Pseudacris crucifer,2024,-91.2499383333,45.9808666667,11,FALSE,INaturalist
238508852,Pseudacris crucifer,2024,-71.05375,42.2284666667,4,FALSE,INaturalist
238507187,Pseudacris crucifer,2024,-85.463295,42.6234533333,28,FALSE,INaturalist
238504335,Pseudacris crucifer,2024,-71.8958089176,42.089270440599996,32,FALSE,INaturalist
238500590,Pseudacris crucifer,2024,-84.1853716667,46.3142666667,3,FALSE,INaturalist
238494700,Pseudacris crucifer,2024,-85.2610931396,43.9017791748,88,FALSE,INaturalist
238494063,Pseudacris crucifer,2024,-70.6636057676,44.383683111,138,FALSE,INaturalist
238480329,Pseudacris crucifer,2024,-91.1562566746,48.656875585,22,FALSE,INaturalist
238476754,Pseudacris crucifer,2024,-76.0414838783,44.5075702383,155,FALSE,INaturalist
238476116,Pseudacris crucifer,2024,-79.5913386152,43.8320186845,3,FALSE,INaturalist
238456181,Pseudacris crucifer,2024,-81.8489828448,42.2615864607,61,FALSE,INaturalist
238454079,Pseudacris crucifer,2024,-73.58757,45.4892700043,83,FALSE,INaturalist
238450892,Pseudacris crucifer,2024,-90.7387771606,46.7996520996,38,FALSE,INaturalist
238400511,Pseudacris crucifer,2024,-71.1068416667,42.4317166667,4,FALSE,INaturalist
238400112,Pseudacris crucifer,2024,-80.03079071,43.7217146,9,FALSE,INaturalist
238398295,Pseudacris crucifer,2024,-71.1068721667,42.43175,4,FALSE,INaturalist
238397802,Pseudacris crucifer,2024,-71.1068680946,42.4318226175,24,FALSE,INaturalist
238355702,Pseudacris crucifer,2024,-79.4602673873,45.2689893851,8,FALSE,INaturalist
238345451,Pseudacris crucifer,2024,-92.5498716667,47.2877283333,4,FALSE,INaturalist
238345136,Pseudacris crucifer,2024,-82.5093953355,41.929170841,11,FALSE,INaturalist
238328875,Pseudacris crucifer,2024,-72.5075768466,46.3986018135,8,FALSE,INaturalist
238321529,Pseudacris crucifer,2024,-72.522125,43.6334916667,139,FALSE,INaturalist
238318307,Pseudacris crucifer,2024,-78.6976616667,38.1305833333,4,FALSE,INaturalist
238305412,Pseudacris crucifer,2024,-86.6752083333,45.668745,10,FALSE,INaturalist
238304521,Pseudacris crucifer,2024,-71.5811833333,42.8141666667,35,FALSE,INaturalist
238301462,Pseudacris crucifer,2024,-92.6715321317,47.1224762494,2,FALSE,INaturalist
238276463,Pseudacris crucifer,2024,-72.4051455033,41.3237540682,488,FALSE,INaturalist
238270416,Pseudacris crucifer,2024,-78.6937783333,45.2748083333,4,FALSE,INaturalist
238261434,Pseudacris crucifer,2024,-70.8108139038,43.1696777344,4,FALSE,INaturalist
238242755,Pseudacris crucifer,2024,-71.2938466667,42.871525,5,FALSE,INaturalist
238242520,Pseudacris crucifer,2024,-71.2938216667,42.8715466667,4,FALSE,INaturalist
238235400,Pseudacris crucifer,2024,-72.525658097,43.1323401775,4,FALSE,INaturalist
238212708,Pseudacris crucifer,2024,-76.2407238968,45.150222648,3,FALSE,INaturalist
238186683,Pseudacris crucifer,2024,-73.5352325439,41.5505828857,90,FALSE,INaturalist
238180172,Pseudacris crucifer,2024,-81.376782504,41.1693633174,2,FALSE,INaturalist
238176997,Pseudacris crucifer,2024,-73.7765966667,44.6605416667,4,FALSE,INaturalist
238168747,Pseudacris crucifer,2024,-80.1925817997,45.3569634997,5,FALSE,INaturalist
238147954,Pseudacris crucifer,2024,-86.1516721667,39.3521133333,4,FALSE,INaturalist
238147293,Pseudacris crucifer,2024,-73.35125,44.2781,13,FALSE,INaturalist
238146564,Pseudacris crucifer,2024,-81.6657033333,40.9385083333,18,FALSE,INaturalist
238138452,Pseudacris crucifer,2024,-81.3539140765,42.9932729295,3,FALSE,INaturalist
238122376,Pseudacris crucifer,2024,-88.4885333333,46.6412666667,11,FALSE,INaturalist
238102658,Pseudacris crucifer,2024,-78.0182028333,45.9328,5,FALSE,INaturalist
238084662,Pseudacris crucifer,2024,-87.3719711304,45.3865852356,100,FALSE,INaturalist
238082857,Pseudacris crucifer,2024,-80.2642598748,45.3479450266,273,FALSE,INaturalist
238077608,Pseudacris crucifer,2024,-73.7511283333,41.7676083333,35,FALSE,INaturalist
238076596,Pseudacris crucifer,2024,-93.4533075617,45.2749881149,4,FALSE,INaturalist
238066362,Pseudacris crucifer,2024,-76.2981173736,44.3842288523,2,FALSE,INaturalist
238060406,Pseudacris crucifer,2024,-75.1238153502,44.5882174987,259,FALSE,INaturalist
238052269,Pseudacris crucifer,2024,-78.9015416667,45.3840533333,106,FALSE,INaturalist
238046426,Pseudacris crucifer,2024,-76.57472336,44.83321654,3,FALSE,INaturalist
238006740,Pseudacris crucifer,2022,-72.86103,43.0225611667,9,FALSE,INaturalist
237978545,Pseudacris crucifer,2024,-88.4102148314,42.8186961488,316,FALSE,INaturalist
237977604,Pseudacris crucifer,2024,-71.56077,42.59837,29,FALSE,INaturalist
237977483,Pseudacris crucifer,2024,-76.6190154097,44.2728833147,61,FALSE,INaturalist
237958581,Pseudacris crucifer,2024,-70.8272083333,41.6815716667,8,FALSE,INaturalist
237957002,Pseudacris crucifer,2024,-89.6084816667,44.8820816667,7,FALSE,INaturalist
237948823,Pseudacris crucifer,2024,-73.0259027705,41.4487180339,144,FALSE,INaturalist
237936657,Pseudacris crucifer,2024,-86.1964187622,42.8811950684,5,FALSE,INaturalist
237925294,Pseudacris crucifer,2024,-80.4847492053,42.6377070185,161,FALSE,INaturalist
237908327,Pseudacris crucifer,2024,-74.3886633333,40.9464,31,FALSE,INaturalist
237901294,Pseudacris crucifer,2024,-94.3353773522,46.4230405218,2,FALSE,INaturalist
237885681,Pseudacris crucifer,2024,-80.962855,40.649775,7,FALSE,INaturalist
237882306,Pseudacris crucifer,2024,-78.3647652157,45.2251519587,6,FALSE,INaturalist
237880089,Pseudacris crucifer,2024,-60.4459883333,46.0363195,13,FALSE,INaturalist
237868172,Pseudacris crucifer,2024,-77.2415168766,44.7079352518,2,FALSE,INaturalist
237865075,Pseudacris crucifer,2024,-79.6930687129,40.809439773,10,FALSE,INaturalist
237859501,Pseudacris crucifer,2024,-73.0721195,44.4143133333,56,FALSE,INaturalist
237856892,Pseudacris crucifer,2024,-72.3731383333,41.8218333333,4,FALSE,INaturalist
237856620,Pseudacris crucifer,2024,-84.4154168665,39.6418736023,201,FALSE,INaturalist
237841218,Pseudacris crucifer,2024,-72.7750524283,43.1104712463,29,FALSE,INaturalist
237809434,Pseudacris crucifer,2024,-78.51838,45.589805,21,FALSE,INaturalist
237792264,Pseudacris crucifer,2022,-72.24053,41.794095,24,FALSE,INaturalist
237788304,Pseudacris crucifer,2024,-93.3392416667,45.93992,4,FALSE,INaturalist
237778103,Pseudacris crucifer,2024,-84.3658216667,42.8063716667,4,FALSE,INaturalist
237771282,Pseudacris crucifer,2024,-71.2880166667,41.7024583333,4,FALSE,INaturalist
237770045,Pseudacris crucifer,2024,-71.6372197759,44.2560494449,31,FALSE,INaturalist
237768958,Pseudacris crucifer,2024,-78.2526507229,44.7266239413,115,FALSE,INaturalist
237767651,Pseudacris crucifer,2024,-89.8101681658,44.1258558445,15,FALSE,INaturalist
237761400,Pseudacris crucifer,2024,-64.2797083333,45.8520616667,8,FALSE,INaturalist
237750016,Pseudacris crucifer,2024,-70.8586828863,41.8487580575,24,FALSE,INaturalist
237737175,Pseudacris crucifer,2024,-92.53516573,47.10125137,8,FALSE,INaturalist
237734655,Pseudacris crucifer,2024,-91.491395,46.3017283333,4,FALSE,INaturalist
237730056,Pseudacris crucifer,2024,-81.7855616667,41.359445,14,FALSE,INaturalist
237729170,Pseudacris crucifer,2024,-89.1095055,30.6531533333,4,FALSE,INaturalist
237705921,Pseudacris crucifer,2024,-73.7556987774,45.9617341677,6,FALSE,INaturalist
237705313,Pseudacris crucifer,2024,-89.281305497,48.4689447335,15,FALSE,INaturalist
237703979,Pseudacris crucifer,2024,-81.2159330556,42.9512213889,10,FALSE,INaturalist
237700828,Pseudacris crucifer,2024,-80.4001616667,43.3047366667,4,FALSE,INaturalist
237699907,Pseudacris crucifer,2024,-85.4853883333,41.2653166667,4,FALSE,INaturalist
237699176,Pseudacris crucifer,2024,-67.4915166667,45.0596555,4,FALSE,INaturalist
237694888,Pseudacris crucifer,2024,-70.6301162395,41.4434903354,131,FALSE,INaturalist
237693938,Pseudacris crucifer,2024,-71.5106716667,42.84738,4,FALSE,INaturalist
237672914,Pseudacris crucifer,2022,-76.4541117606,42.48019779,80,FALSE,INaturalist
237663226,Pseudacris crucifer,2024,-90.0865090724,44.3033876633,26,FALSE,INaturalist
237649799,Pseudacris crucifer,2024,-76.4147707684,44.897507238,39,FALSE,INaturalist
237636144,Pseudacris crucifer,2024,-75.9438783333,44.3785216667,4,FALSE,INaturalist
